[큐텐 한국기업 목록 - 브랜드 확인 후 아래 aliases.csv에 추가],,
큐텐_회사명(법인명),브랜드명(storeName 정제),
(주)트렌드메이커,사람인,
(주)트웬티메디코스,사람인,
(주)파인에이치알,사람인,
(주)판타지오,사람인,
(주)팜스빌,사람인,
(주)퍼셀,사람인,
(주)페르니코리아,사람인,
(주)편한가,사람인,
(주)포러스,사람인,
(주)포앰,사람인,
(주)포엠크루,사람인,
(주)포트레,사람인,
(주)푸르농,사람인,
(주)풀리오,사람인,
(주)프렉탈,사람인,
(주)프로써치코리아,사람인,
(주)프롬바이오,사람인,
(주)플라스틱프로덕트,사람인,
(주)플레이컴퍼니,사람인,
(주)피비엠,사람인,
(주)피츠,사람인,
(주)피플렙,사람인,
(주)피플리브,사람인,
(주)피플케어코리아,사람인,
(주)핀치하우스,사람인,
(주)하이업엔터테인먼트,사람인,
(주)하프커피로스터스,사람인,
(주)한터글로벌,사람인,
(주)화인비에스,사람인,
(주)휴먼브리스,사람인,
(주)휴비즈,사람인,
1950(주),사람인,
㈜벤처피플,사람인,
㈜인컴이즈,사람인,
굿커리어,사람인,
김화사,사람인,
넥서스파마(주),사람인,
넥스트레벨스튜디오,사람인,
뉴셀렉트(주),사람인,
닥터파인드,사람인,
달링,사람인,
더화이트커뮤니케이션(주),사람인,
데이터워즈코리아(유),사람인,
도이치모터스(주),사람인,
동대문여성인력개발센터,사람인,
동양특수목재(주),사람인,
두리화장품(주),사람인,
랩앤피플(주),사람인,
러너블(주),사람인,
로픈,사람인,
리메세(주),사람인,
리베미코퍼레이션,사람인,
리애드코퍼레이션(주),사람인,
메이트일공오,사람인,
모아씨앤씨(주),사람인,
베라모어(주),사람인,
베이직스(주),사람인,
보보스링크(주),사람인,
비기닝리테일(주),사람인,
셀잇(주),사람인,
스콜라스(주),사람인,
씨앤지(주),사람인,
알엘에이피(주),사람인,
압타바이오(주),사람인,
에버브레인컨설팅(주),사람인,
에어콘테이너로지스틱스(주),사람인,
에이드코리아컴퍼니(주),사람인,
에이스휴먼파워(주),사람인,
에이치앤엠헤네스앤모리츠(주),사람인,
에이치엘비(주),사람인,
"에이치엘비글로벌(주)서울지점(HLBGlobalCo.,Ltd.)",사람인,
에이치케이에스인베스트먼트(주),사람인,
에프아이씨씨(주),사람인,
엑씨,사람인,
여우화장,사람인,
워크맨그룹 주식회사,사람인,
원앤원(주),사람인,
웰스로만센트라린코리아(유),사람인,
위시컴퍼니(주),사람인,
유니굿즈샵,사람인,
유니콘바인(주),사람인,
제이씨코리아(주),사람인,
제이앤피에이치알컨설팅,사람인,
주식회사 글로벌아크,사람인,
주식회사 더샘인터내셔날,사람인,
주식회사 리만코리아,사람인,
주식회사 리아진에프앤씨,사람인,
주식회사 블렌디크,사람인,
주식회사 서울글로벌마케팅,사람인,
주식회사 제이앤코파운데이션,사람인,
주식회사 졸스,사람인,
주식회사 청담글로벌,사람인,
주식회사 케이팝머치,사람인,
주식회사디아뮤,사람인,
주식회사마인드스낵,사람인,
주식회사맨파워써치,사람인,
주식회사베노프파트너스,사람인,
주식회사에프엔더블유,사람인,
주식회사제이디티씨,사람인,
주식회사푼바키,사람인,
커리어셀파,사람인,
케이프(주),사람인,
코리아써치,사람인,
코스맥스비티아이(주),사람인,
터닝포인트HR,사람인,
터틀커머스,사람인,
파워에이치알,사람인,
프로페셔날핸즈인핸즈코리아(주),사람인,
프론티어식품(주),사람인,
하이베러(주),사람인,
하이템포왈츠(주),사람인,
하이퍼스타(주),사람인,
휴머레인컨설팅,사람인,
희래(주),사람인,

[파우더룸 브랜드명 목록 - 참고용],,
나인위시스,파우더룸,
나츄리에,파우더룸,
낫씨백,파우더룸,
넘버즈인,파우더룸,
네이처리퍼블릭,파우더룸,
닥터뉴엘,파우더룸,
닥터자르트,파우더룸,
닥터지,파우더룸,
달바,파우더룸,
더랩바이블랑두,파우더룸,
더마펌,파우더룸,
더마피아,파우더룸,
더메디닥터,파우더룸,
땡큐파머,파우더룸,
라네즈,파우더룸,
라운드랩,파우더룸,
랑벨,파우더룸,
랩클,파우더룸,
러븀,파우더룸,
리리코스 마린에너지,파우더룸,
마녀공장,파우더룸,
마데카21,파우더룸,
마몽드,파우더룸,
마이스킨솔루스,파우더룸,
메디힐,파우더룸,
메이드미,파우더룸,
메이크프렘,파우더룸,
바이애콤,파우더룸,
발란스,파우더룸,
보타니티,파우더룸,
브링그린,파우더룸,
비오엠,파우더룸,
빌리프,파우더룸,
산타마리아노벨라,파우더룸,
세타필,파우더룸,
셀몽드,파우더룸,
셀퓨전씨,파우더룸,
수이스킨,파우더룸,
스와니코코,파우더룸,
스칸스킨,파우더룸,
스킨푸드,파우더룸,
시크릿키,파우더룸,
싸이닉,파우더룸,
썸바이미,파우더룸,
아누아,파우더룸,
아이소이,파우더룸,
아티스트리,파우더룸,
어바웃미,파우더룸,
에뛰드,파우더룸,
에프플로우,파우더룸,
엑스비앙스,파우더룸,
오히어,파우더룸,
원씽,파우더룸,
웰라쥬,파우더룸,
유리아쥬,파우더룸,
이니스프리,파우더룸,
이즈앤트리,파우더룸,
이퀄베리,파우더룸,
인터미션,파우더룸,
자빈드서울,파우더룸,
진저6,파우더룸,
채식주의,파우더룸,
코스노리,파우더룸,
코스알엑스,파우더룸,
크리니크,파우더룸,
클레어스,파우더룸,
키엘,파우더룸,
토니모리,파우더룸,
토리든,파우더룸,
트리앤씨,파우더룸,
퍼셀,파우더룸,
폴라초이스,파우더룸,
프리메라,파우더룸,
플로디카,파우더룸,
한율,파우더룸,
허니집,파우더룸,
홀리카홀리카,파우더룸,
